datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 02:00:20+08:00,25.71,87.0,26.61,Baybay
2026-01-01 02:00:28+08:00,25.6,88.0,26.51,Bogo
2026-01-01 02:00:30+08:00,23.67,95.0,24.57,Borongan
2026-01-01 02:00:31+08:00,26.12,85.0,26.12,Butuan
2026-01-01 02:00:34+08:00,26.11,73.0,26.11,Cabadbaran
2026-01-01 02:00:35+08:00,23.79,86.0,24.47,Cabanatuan City
2026-01-01 02:00:40+08:00,25.91,88.0,26.85,Cadiz
2026-01-01 02:00:48+08:00,23.94,92.0,24.79,Calbayog City
2026-01-01 02:00:51+08:00,26.79,82.0,29.45,Caloocan City
2026-01-01 02:01:01+08:00,24.44,89.0,25.26,Catbalogan
2026-01-01 02:00:31+08:00,25.81,94.0,26.9,Cebu City
2026-01-01 02:01:16+08:00,23.28,86.0,23.91,Dagupan
2026-01-01 02:01:24+08:00,26.05,89.0,26.05,Davao
2026-01-01 02:01:25+08:00,25.23,87.0,26.08,Digos
2026-01-01 02:01:27+08:00,24.84,89.0,25.7,Dipolog
2026-01-01 02:01:29+08:00,25.67,89.0,26.62,Dumaguete
2026-01-01 02:01:36+08:00,25.46,86.0,26.31,General Santos
2026-01-01 02:01:41+08:00,24.68,91.0,25.58,Gingoog City
2026-01-01 02:01:46+08:00,22.71,94.0,23.49,Iligan City
2026-01-01 02:01:48+08:00,24.5,94.0,25.46,Iloilo City
2026-01-01 02:01:57+08:00,23.62,90.0,24.39,Kidapawan
2026-01-01 02:01:59+08:00,24.11,95.0,25.06,Koronadal
2026-01-01 02:02:06+08:00,26.02,94.0,26.02,Lapu-Lapu City
2026-01-01 02:02:09+08:00,24.8,93.0,25.76,Legazpi City
2026-01-01 02:02:14+08:00,24.18,95.0,25.13,Lucena
2026-01-01 02:02:19+08:00,26.59,79.0,26.59,Makati City
2026-01-01 02:02:22+08:00,19.77,97.0,20.34,Malaybalay
2026-01-01 02:02:44+08:00,24.41,92.0,25.31,Ormoc
2026-01-01 02:02:49+08:00,23.33,93.0,24.15,Pagadian
2026-01-01 02:02:50+08:00,26.57,82.0,26.57,Quezon City
2026-01-01 02:03:29+08:00,25.44,83.0,26.21,Surigao City
2026-01-01 02:03:35+08:00,24.12,92.0,24.99,Tacloban City
2026-01-01 02:03:55+08:00,25.53,84.0,26.33,Toledo City
2026-01-01 02:04:08+08:00,26.03,90.0,26.03,Zamboanga City
2026-01-01 03:00:02+08:00,25.25,78.0,25.87,Angeles City
2026-01-01 03:00:05+08:00,23.92,91.0,24.74,Antipolo
2026-01-01 03:00:07+08:00,24.02,94.0,24.93,Bacolod
2026-01-01 03:00:12+08:00,14.8,97.0,14.87,Baguio
2026-01-01 03:00:15+08:00,26.06,85.0,26.06,Bais
2026-01-01 03:00:20+08:00,24.0,87.0,24.73,Batangas City
2026-01-01 03:00:23+08:00,25.37,88.0,26.26,Baybay
